Genre,Rank,Revenue_Millions,Votes,Movie_count
"Action,Adventure,Sci-Fi",1,10461.51,18582076,50
"Animation,Adventure,Comedy",2,5754.75,5913065,27
"Action,Adventure,Fantasy",3,5248.29,7816851,27
"Adventure,Family,Fantasy",4,2201.4700000000003,2640649,14
Comedy,5,1941.81,3685529,32
"Animation,Action,Adventure",6,1759.26,2118908,9
"Action,Adventure,Thriller",7,1739.3600000000001,3635443,11
"Action,Adventure,Drama",8,1391.79,2816128,18
"Adventure,Drama,Fantasy",9,1380.04,1644120,6
"Action,Crime,Drama",10,1346.1000000000001,4161368,17
"Action,Adventure,Comedy",11,1340.27,2709033,14
"Comedy,Drama,Romance",12,1330.62,4587612,35
"Comedy,Romance",13,1219.11,2786364,26
"Action,Crime,Thriller",14,1200.79,2366563,12
"Action,Comedy,Crime",15,1108.93,2278536,12
"Action,Thriller",16,1097.09,2525168,9
"Animation,Comedy,Family",17,972.15,925235,5
"Biography,Drama,History",18,927.85,1999103,14
"Drama,Romance",19,920.51,3463764,31
Drama,20,853.9399999999999,4287446,48
"Adventure,Fantasy",21,816.47,1567993,3
"Comedy,Drama",22,792.84,2651158,27
"Crime,Drama,Thriller",23,754.81,3844929,24
"Action,Adventure,Mystery",24,751.72,1462614,5
"Biography,Drama",25,747.57,2317711,14
"Action,Biography,Drama",26,704.57,1290493,8
"Crime,Drama,Mystery",27,700.62,3579240,23
"Action,Sci-Fi",28,698.3399999999999,1453588,3
"Action,Adventure",29,671.2199999999999,1003377,3
"Adventure,Drama,Family",30,607.29,675780,4
"Biography,Drama,Sport",31,590.4599999999999,798599,8
"Action,Adventure,Crime",32,543.72,1201937,6
"Adventure,Sci-Fi,Thriller",33,541.68,1107434,3
"Horror,Mystery,Thriller",34,507.99,1159449,9
"Mystery,Thriller",35,441.2,1576449,7
"Action,Sci-Fi,Thriller",36,439.5,1947568,7
"Comedy,Crime",37,427.65,1120384,5
"Adventure,Drama,Sci-Fi",38,416.42,1603844,2
"Horror,Thriller",39,408.49,630525,16
"Action,Mystery,Thriller",40,389.34,900537,3
"Biography,Crime,Drama",41,384.34000000000003,1114362,9
"Comedy,Family",42,382.96,171911,5
"Drama,Fantasy,Romance",43,380.87,1197506,5
"Action,Adventure,Family",44,338.6,548630,4
"Drama,Thriller",45,331.65000000000003,1832786,15
"Comedy,Fantasy",46,320.1,822479,2
"Drama,Sci-Fi,Thriller",47,309.38,1024406,4
"Adventure,Comedy,Drama",48,303.78999999999996,1417792,8
"Action,Comedy",49,293.95,1012938,6
"Drama,Horror,Sci-Fi",50,293.42999999999995,959916,6
"Crime,Drama",51,286.75,1229106,10
"Adventure,Mystery,Sci-Fi",52,277.29,847913,2
"Animation,Adventure,Family",53,271.83,849675,2
"Action,Horror,Sci-Fi",54,270.02,625946,5
"Comedy,Drama,Family",55,268.88,283074,3
"Action,Adventure,Horror",56,262.48,635719,2
"Action,Drama,Family",57,262.05,392463,2
Horror,58,259.37,1014708,11
"Action,Drama,Thriller",59,256.40999999999997,621717,7
"Adventure,Drama,Thriller",60,248.23,940491,3
"Action,Drama,Fantasy",61,245.81,529291,3
"Drama,Romance,Thriller",62,237.5,359313,3
"Drama,Sport",63,232.39999999999998,516513,5
"Biography,Drama,Thriller",64,219.7,958362,3
"Drama,History,Thriller",65,215.59,836406,4
"Action,Fantasy,War",66,210.59,637104,1
"Biography,Comedy,Drama",67,209.92,1066925,7
"Comedy,Drama,Music",68,208.77,445348,5
"Mystery,Sci-Fi,Thriller",69,206.29,809595,3
"Action,Crime,Mystery",70,202.11,694628,3
"Drama,Family,Fantasy",71,201.15,117018,1
"Adventure,Comedy,Family",72,193.75,132488,2
"Comedy,Music",73,192.82999999999998,139181,2
"Drama,Mystery,Sci-Fi",74,187.74,2113417,6
"Action,Drama,Sci-Fi",75,185.15,980972,4
"Action,Adventure,Western",76,182.67000000000002,313708,2
"Comedy,Crime,Drama",77,180.09,981573,7
"Adventure,Drama,Western",78,171.03,254904,1
"Drama,Mystery,Romance",79,167.93,947845,6
"Action,Comedy,Fantasy",80,167.62,483285,3
"Drama,Western",81,162.8,1039115,1
"Horror,Mystery",82,153.81,661023,6
"Adventure,Drama,Romance",83,149.56,298292,2
"Drama,Musical,Romance",84,148.78,257426,1
"Animation,Action,Comedy",85,148.34,183926,1
"Action,Comedy,Sport",86,148.21,137502,1
"Comedy,Family,Musical",87,143.7,153481,1
"Action,Crime,Fantasy",88,134.57,312495,1
"Action,Fantasy,Horror",89,133.66,323628,3
Action,90,131.56,17237,2
"Adventure,Comedy,Romance",91,127.27000000000001,189506,2
"Fantasy,Horror",92,126.22,354186,2
"Adventure,Drama,War",93,120.52,959065,1
"Crime,Mystery,Thriller",94,117.7,499528,2
"Drama,Mystery,Thriller",95,117.50999999999999,764142,8
"Crime,Thriller",96,117.14,269581,1
"Biography,Comedy,Crime",97,116.87,865134,1
"Action,Fantasy,Thriller",98,115.8,190673,1
"Drama,Horror,Mystery",99,115.57000000000001,342484,4
"Action,Mystery,Sci-Fi",100,114.69,429769,3
"Action,Drama,Mystery",101,107.5,464928,2
"Action,Drama,History",102,103.42,128154,4
"Crime,Horror,Thriller",103,92.52,248875,4
"Comedy,Horror,Thriller",104,90.07,156691,2
"Action,Drama,War",105,85.71,332234,1
"Comedy,Fantasy,Horror",106,83.03999999999999,300433,3
"Adventure,Biography,Drama",107,80.04,936754,4
"Action,Drama,Romance",108,79.45,260384,2
"Action,Comedy,Family",109,78.75,101092,1
"Crime,Drama,History",110,78.03999999999999,597965,2
"Adventure,Comedy,Horror",111,75.59,409403,1
